Team,Team_Name
608,Phoenix
619,Mecha Makos
619,Mecha Makos
633,Supernormal Incremental Precipitation Inducers 
647,Robotigers Delta 
647,Robotigers Delta
651,Sabers
652,Shoeshine
654,RoboMiesters
657,RhodeBOT
658,Robo Rookies
669,Milpitas Xtreme Robotics
673,Gaffney Endians
676,Pink RoboDragons
676,Blue Robo Dragons
676,Pink RoboDragons
676,Blue RoboDragons
679,RoboRaiders
689,A-Vengers
692,Gutterball
701,Homer
710,Tool Bots
710,Tool Bots
712,RoboWorks
719,The Iron Wolverines
724,Robo Revolution
724,Robo Revolution
741,Raider Robots
747,Static Shiok
750,Gears in Motion
750,Gears in Motion
753,EnTech  Greenvillains
755,Greenwave
756,TEST Team
756,TEST Team
757,Suburban Legends
757,Suburban Legends
760,Metal Menace
771,Robo Raiders
772,Ya and the Boys
779,Wildcats
779,Wildcats
785,The Pathfinders 
796,Wolves
796,Harley Wolves
839,Mighty Mechanics
839,Mighty Mechanics 
965,Redstone Rangers
965,Redstone Rangers
975,Synergy
1001,Hacksaw
1001,Hacksaw
1002,Circuit Runners
1002,Wheeler CircuitRunners
1002,CircuitRunners
1033,Team Clutch
1033,Team CLUTCH
1102,M'Aiken Tech Magic
1369,Minotaur
1369,Minotaur
1379,Gear Devils
1870,Lightning Arx
1885,I Lift
2408,Shrapnel Sergeants
2425,Hydra
2753,Team Overdrive
2753,Team Overdrive
2803,Raptor Robotics
2813,Teen Girl Squad
2818,The Original G-Force
2818,G-Force
2818,The Orignal G-FORCE
2821,Prototype Posse
2821,Prototype Posse
2825,NB Raiders
2825,SWAG
2827,Artificial Stupidity
2833,Midwest 5
2836,Modest Perfection
2843,Under the Son
2844,Valley X
2845,Team Duct Tape
2845,Team Duct Tape
2850,ROTC
2858,Sparbots
2858,Sparbots
2859,Team Tiki
2859,Team Tiki
2866,Green Army Robotics - Covert Division
2867,Green Army Robotics - Armored Division
2868,Smoke and Mirrors
2873,ROBOBUFFS
2875,MightyBot
2875,MITiBot
2875,MITiBot 
2879,Thunderbots
2879,Thunderbots
2885,Kronos
2887,Bucket Brigade
2888,The Oddly Charged Particles
2888,Oddly Charged Particles
2891,WarriorBorgs
2891,WarriorBorgs
2897,Robo Ninja
2923,RoboWarriors
2929,Brit Bot
2929,Brit Bot
2939,Zenith
2940,Wave Riders
2944,T-REX
2962,Robo Warriors
2963,Kiltic Thunder
2973,Zotbotz
2981,Red RoboDragons
2981,Red RoboDragons
2981,Red Robo Dragons
2993,Bronze RoboDragons
2993,Bronze RoboDragons
2993,Bronze Robo Dragons
2997,Beauty Bots and The Beasts
3006,Terrabots
3007,Robotic Rams
3010,The Warp Drivers
3011,The Dominion
3013,The Nerd Herd
3013,Nerd Herd
3013,Nerd  Herd
3029,Clockwork
3029,ClockWorks
3029,Clockwork
3032,Swaga
3035,Royal Robotics
3045,Built And Dangerious (B.A.D.)
